# Note that the FOCAS reductions are ongoing.
# The values presented here were manually derived.
# We are currently working on a pipeline to automate reductions.
#
# Flag values correspond to:
# s=strong/reliable
# w=weak/less reliable
# n=no conspicuous features
#
SN instrument z_hel plus minus r flag
21msv SNIFS 0.09988544020565986 -1.0 5.520877910669686e-07 1.8513882750014148 n
21zeh SNIFS 0.09442998138686735 9.884279981928201e-05 2.7065100873566172e-05 2.538161944205201 n
21feg SNIFS 0.05954354634794988 2.2514209925411643e-06 8.457332959649344e-07 137.22982995955675 s
22abcq SNIFS 0.03798947993920769 1.9413250267802384e-05 1.7302860008783227e-05 2.564992831013981 s
19bcw FOCAS 0.04178617429791794 0.001 0.001 None ?
19bcw FOCAS 0.04178617429791794 0.001 0.001 None ?
19blm FOCAS 0.0707402458004069 0.001 0.001 None ?
19blm FOCAS 0.0707402458004069 0.001 0.001 None ?
19blm FOCAS 0.0707402458004069 0.001 0.001 None ?
19blm FOCAS 0.0707402458004069 0.001 0.001 None ?
19bse FOCAS 0.0284264 0.001 0.001 None ?
19bse FOCAS 0.0284264 0.001 0.001 None ?
19bse FOCAS 0.0284264 0.001 0.001 None ?
19bse FOCAS 0.0284264 0.001 0.001 None ?
19cxu FOCAS 0.047905489626494525 0.001 0.001 None ?
19cxu FOCAS 0.047905489626494525 0.001 0.001 None ?
19dpu FOCAS 0.06681694985686217 0.001 0.001 None ?
19dpu FOCAS 0.06681694985686217 0.001 0.001 None ?
19ens FOCAS 0.04808368991457631 0.001 0.001 None ?
19ens FOCAS 0.04808368991457631 0.001 0.001 None ?
19fcf FOCAS 0.07800599999999999 0.001 0.001 None ?
19fcf FOCAS 0.07800599999999999 0.001 0.001 None ?
19fkv FOCAS 0.055353 0.001 0.001 None ?
19fkv FOCAS 0.055353 0.001 0.001 None ?
19fkv FOCAS 0.055353 0.001 0.001 None ?
19fkv FOCAS 0.055353 0.001 0.001 None ?
19ftg FOCAS 0.060594526557739364 0.001 0.001 None ?
19ftg FOCAS 0.060594526557739364 0.001 0.001 None ?
19ged FOCAS 0.0633899 0.001 0.001 None ?
19ged FOCAS 0.0633899 0.001 0.001 None ?
19ged FOCAS 0.0633899 0.001 0.001 None ?
19ged FOCAS 0.0633899 0.001 0.001 None ?
19hoc FOCAS 0.03687926238333527 0.001 0.001 None ?
19hoc FOCAS 0.03687926238333527 0.001 0.001 None ?
19hoc FOCAS 0.03687926238333527 0.001 0.001 None ?
19hoc FOCAS 0.03687926238333527 0.001 0.001 None ?
19hyj FOCAS 0.0578607 0.001 0.001 None ?
19iei FOCAS 0.0614772448328356 0.001 0.001 None ?
19iei FOCAS 0.0614772448328356 0.001 0.001 None ?
19iei FOCAS 0.0614772448328356 0.001 0.001 None ?
19iei FOCAS 0.0614772448328356 0.001 0.001 None ?
19kpv FOCAS 0.042491 0.001 0.001 None ?
19kpv FOCAS 0.042491 0.001 0.001 None ?
19kpv FOCAS 0.042491 0.001 0.001 None ?
